[07:59:14][DEBUG][CORSICA][MESH] Sucessfully compile[07:59:14][INFO][CORSICA][WIND[07:59:25][WARNING][CORSICA][MESH] Destroying mesh shader & texture...
[07:59:25][WARNING][CORSICA][MESH] Destroyed mesh shader & texture.
RE] Destroying texture ID: 1
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.54983
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.56651
[07:59:16][INFO][CORSICA][WINDOW] TIME SINCE START: 2.58321
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.59979
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.61621
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.63345
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.65025
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.6674
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.68436
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.70004
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.71741
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.73366
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.7518
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.76833
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.78485
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.80157
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.81782
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.83664
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.85125
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.8673
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.8844
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.90095
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.91773
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.93478
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.95244
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.96716
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 2.98542
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.00204
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.01816
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.0346
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.05133
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.06958
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.08644
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.10315
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.11995
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.13596
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.15407
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.16949
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.18714
[07:59:17][INFO][CORSICA][WINDOW] TIME SINCE START: 3.20227
